,code,topic,description,possible_cause,Diagnostic
213,P1115 ," Intake Air Temperature 2 (IAT2) Circuit High (Supercharged/Turbocharged engines)
",   Indicates the sensor signal is greater than the self-test maximum. The IAT2 sensor   maximum is 4.6 volts.,"[' Open circuit in the harness', ' Sensor signal short to voltage ', ' Incorrect harness connection ', ' Damaged sensor']"," Monitor the IAT2 PID value. A typical IAT2 temperature should be greater than the IAT1temperature. Refer to Section 6 , Reference Values."
214,P1116 , Engine Coolant Temperature (ECT) Sensor Out of Self,   Indicates the ECT sensor is out of self-test range. The correct range is 0.3 to 3.7   volts.,"[' Overheating condition', ' Malfunctioning thermostat', ' Damaged ECT sensor', ' Low engine coolant', ' Damaged harness connector']",The ECT must be greater than 10Â°C (50Â°F) to pass the key on engine off (KOEO) self-test and greater than 82Â°C (180Â°F) to pass the key on engine running (KOER) self-test.
215,P1117 ," Engine Coolant Temperature (ECT) Sensor Circuit Intermittent
", Indicates the ECT circuit became intermittently open or shorted while the engine was running.,"[' Damaged harness', ' Damaged sensor ', ' Damaged harness connector ', ' Low engine coolant']", Monitor the ECT on a scan tool. Look for sudden changes in the reading when theharness is wiggled or the sensor is tapped.
216,P1120 ," Throttle Position Sensor A Out Of Range Low (Ratch Too Low)
"," The throttle position (TP) sensor circuit is monitored by the powertrain control module (PCM) for a low TP rotation angle or voltage input below the closed throttle position through the comprehensive component monitor (CCM). The test fails if the TP rotation angle or voltage remains within the calibrated self-test range, but falls between 3.42-9.85% (0.17- 0.49 volt).","[' TP circuit with frayed wires', ' Corrosion or loose connection on the TP circuit connectors and pins', 'VREF open to TP sensor', 'VREF short to SIG RTN']"," A TP PID between 3.42-9.85% (0.17-0.49 volt) in key ON, engine OFF or key ON, enginerunning indicates a concern is present."
217,P1124 , Throttle Position Sensor A Out Of Self,   The throttle position (TP) sensor circuit is monitored by the powertrain control module   (PCM) for an out of range TP rotation angle or voltage input. The test fails if the TP rotation   angle or voltage reading is less than 13.27% (0.66 volt) or greater than 23.52% (1.17   volts).,"[' Binding or bent throttle linkage', ' TP sensor not seated properly ', ' Throttle plate below closed throttle position ', ' Throttle plate/screw misadjusted ', ' Damaged TP sensor']"," The TP PID reading not between 13.27-23.52% (0.66-1.17 volts) in key ON, engine OFF orkey ON, engine running indicates a concern is present."
218,P1127 ," Exhaust Temperature Out of Range, O2 Sensor Tests Not Completed
",   The heated oxygen sensor (HO2S) monitor uses an exhaust temperature model to   determine when the HO2S heaters are cycled ON. The test fails when the inferred exhaust   temperature is below a minimum calibrated value.,"['Engine not operating long enough prior to carrying out the key on engine running (KOER) self-test ', 'Exhaust system too cool']", Monitor the HO2S heater PIDs to determine their ON/OFF state. DTC P1127 is present ifthe exhaust is not hot.
219,P115E ," Throttle Actuator Control (TAC) Throttle Body Air Flow Trim at Max Limit
"," During idle, the powertrain control module (PCM) monitors the throttle angle and air flow. If the air flow is determined to be less than expected, the PCM adjusts the throttle angle to compensate. The air flow reduction is typically the result of sludge buildup around the throttle plate. This DTC indicates the PCM has reached the maximum allowed compensation and is no longer able to compensate for the buildup.",['Sludge around the throttle plate'],
220,P117A ," Engine Oil Over Temperature â€” Forced Limited Power
",   Indicates the engine oil protection strategy is enabled when the engine oil temperature   (EOT) reaches a predetermined level in the powertrain control module (PCM). The PCM   then limits the engine RPMs until the EOT returns to normal.,"['Engine overheating', 'Low engine coolant ', ""Loaded weight is greater than the maximum vehicle weight rating. Refer to Owner'sLiterature for vehicle weight ratings.""]"," This DTC is an informational DTC and may be set by an engine overheating concern. If theengine overheats, check the cooling system. Refer to the Workshop Manual Section 303- 03, Engine Cooling for cooling system diagnosis."
221,P1184 , Engine Oil Temperature (EOT) Sensor Out of Self,   Indicates the EOT signal was out of self-test range.,"['Damaged harness', 'Damaged sensor', 'Damaged harness connector']",The engine should be at operating temperature before carrying out the self-test.
222,P1227 ," Wastegate Failed Closed (Over pressure)
",  Indicates that boost pressure is continuously higher than desired.,"[' EGR valve ', ' MAF sensor', ' SIP sensor', ' Supercharger bypass actuator stuck closed', ' Supercharger']",This DTC is informational only and it may be accompanied by other DTCs. Diagnose other DTCs first.
223,P1228 ," Wastegate Failed Open (Under pressure)
",  Indicates that boost pressure is continuously lower than desired.,"[' EGR valve ', ' MAF sensor', ' SIP sensor', ' Supercharger bypass actuator stuck open', ' Supercharger']",This DTC is informational only and it may be accompanied by other DTCs. Diagnose other DTCs first.
224,P1229 ," Charge Air Cooler (CAC) Pump Driver
",This DTC sets when the powertrain control module (PCM) commands the superchargerCAC pump to operate but no current is detected.,"[' CAC pump motor open circuit ', ' CAC pump relay coil open', ' Open circuit between the relay and pump', ' CAC pump motor shorted', ' Open circuit between the PCM and the relay', ' Poor CAC pump ground connection']",Check for voltage at the relay. Check the fuse in the voltage circuit. Check the ground connection of the CAC pump motor.
225,P1233 ," Fuel Pump Driver Module Disabled or Off Line
"," The powertrain control module (PCM) monitors the fuel pump monitor (FPM) circuit from the fuel pump driver module (FPDM). With the key ON, engine OFF or key ON, engine running the FPDM continuously sends a duty cycle signal to the PCM through the FPM circuit. The test fails if the PCM stops receiving the duty cycle signal.","['Inertia fuel shutoff (IFS) switch needs to be reset ', 'Open FPDM ground circuit', 'Open circuit to FPDM PWR RLY', 'Open FPDM PWR circuit', 'Open or short FPM circuit (engine should start)', 'Damaged IFS switch', 'Damaged FPDM PWR RLY', 'Damaged FPDM']","The PCM expects to see one of the following duty cycle signals from the FPDM on the FPM circuit: 1) 50% (500 ms on, 500 ms off), all OK. 2) 25% (250 ms on, 750 ms off), FPDM didnot receive a fuel pump (FP) duty cycle command from the PCM, or the duty cycle that wasreceived was invalid. 3) 75% (750 ms on, 250 off), the FPDM detected a concern in thecircuits between the FPDM and the fuel pump."
226,P1234 ," Fuel Pump Driver Module Disabled or Off Line
"," The powertrain control module (PCM) monitors the fuel pump monitor 2 (FPM2) circuit from the fuel pump driver module 2 (FPDM2). With the key ON, engine OFF or key ON, engine running the FPDM2 continuously sends a duty cycle signal to the PCM through the FPM2 circuit. The test fails if the PCM stops receiving the duty cycle signal.","['Inertia fuel shutoff (IFS) switch needs to be reset ', 'Open FPDM2 ground circuit', 'Open circuit to FPDM2 PWR RLY', 'Open FPDM2 PWR circuit', 'Open or short FPM2 circuit (engine should start)', 'Damaged IFS switch', 'Damaged FPDM2 PWR RLY', 'Damaged FPDM2']","The PCM expects to see one of the following duty cycle signals from the FPDM2 on the FPM2 circuit: 1) 50% (500 ms on, 500 ms off), all OK. 2) 25% (250 ms on, 750 ms off), theFPDM2 did not receive a fuel pump (FP) duty cycle command from the PCM, or the dutycycle that was received was invalid. 3) 75% (750 ms on, 250 off), the FPDM2 detected aconcern in the circuits between the FPDM2 and the fuel pump."
227,P1235 ," Fuel Pump Control Out Of Range
"," This DTC indicates the fuel pump driver module (FPDM) detected an invalid or missing fuel pump (FP) duty cycle signal on the fuel pump control (FPC) circuit from the powertrain control module (PCM). The FPDM sends a message to the PCM through the fuel pump monitor (FPM) circuit, indicating this concern was detected. The PCM sets the DTC when the message is received.","['FPC circuit open or short ', 'Electronic throttle control (ETC) system concern. Check for ETC DTCs', 'Damaged FPDM', 'Damaged PCM']","The FPDM sends a 25% duty cycle (250 ms on, 750 ms off) through the FPM circuit to the PCM while the concern is being detected by the FPDM. If the concern is no longerdetected, the FPDM returns to sending an all OK (50% duty cycle) message to the PCM.For ETC applications, check if ETC DTC P2105 is present. An ETC system concern couldcause DTC P1235, and should be diagnosed first."
228,P1236 ," Fuel Pump Control Out Of Range
"," This DTC indicates the fuel pump driver module 2 (FPDM2) detected an invalid or missing fuel pump (FP) duty cycle signal on the fuel pump control (FPC) circuit from the powertrain  control module (PCM). The FPDM2 sends a message to the PCM through the fuel pump  monitor 2 (FPM2) circuit, indicating this concern was detected. The PCM sets the DTC  when the message is received.","['FPC circuit open or short ', 'Damaged FPDM2', 'Damaged PCM']","The FPDM2 sends a 25% duty cycle (250 ms on, 750 ms off) through the FPM2 circuit to the PCM while the concern is being detected by the FPDM2. If the concern is no longerdetected, the FPDM2 returns to sending an all OK (50% duty cycle) message to the PCM."
229,P1237 ," Fuel Pump Secondary Circuit
", This DTC indicates that the fuel pump driver module (FPDM) detected a fuel pump secondary circuit concern. The FPDM sends a message to the powertrain control module (PCM) through the fuel pump monitor (FPM) circuit indicating this concern was detected. The PCM sets the DTC when the message is received.,"['Open or short FP PWR circuit ', 'Open FP RTN circuit to FPDM', 'Open or short circuit in the fuel pump', 'Locked fuel pump rotor', 'Damaged FPDM']","The FPDM sends a 75% duty cycle (750 ms on, 250 ms off) through the FPM circuit to the PCM while the concern is being detected by the FPDM. If the concern is no longerdetected, the PCM returns to sending an all OK (50% duty cycle) message to the PCM.The FPDM controls pump speed by supplying a variable ground on the FP RTN circuit."
230,P1238 ," Fuel Pump Secondary Circuit
"," This DTC indicates the fuel pump driver module (FPDM2) detected a fuel pump secondary circuit concern. The FPDM2 sends a message to the powertrain control module (PCM) through the fuel pump monitor (FPM2) circuit, indicating this concern was detected. The PCM sets the DTC when the message is received.","['Open or short FP2PWR circuit ', 'Open FP2RTN circuit to FPDM2', 'Open or short circuit in the fuel pump', 'Locked fuel pump rotor', 'Damaged FPDM2']"," The FPDM2 sends a 75% duty cycle (750 ms on, 250 ms off) through the FPM2 circuit tothe PCM while the concern is being detected by the FPDM2. If the concern is no longer detected, the PCM returns to sending an all OK (50% duty cycle) message to the PCM. The FPDM2 controls pump speed by supplying a variable ground on the FP2RTN circuit."
231,P1244 ," Alternator Load High Input
",   The powertrain control module (PCM) monitors generator load from the generator/regulator   in the form of frequency. The concern indicates the input is higher than the load should be   in normal operation. The load input could be high when a battery short to ground exists.,"['GENLI circuit short to voltage', 'GENRC circuit short to voltage ', 'B+ open prior to start-up ', 'Open GENRC prior to start-up ', 'Open ILC prior to start-up ', 'Damaged PCM']", Verify the battery voltage is 14.5 volts.Verify the generator/regulator has the correct part number.
232,P1245 ," Alternator Load Low Input
",   The powertrain control module (PCM) monitors generator load from the generator/regulator   in the form of frequency. The concern indicates the input is lower than the load should be   in normal operation. The load input could be low when no generator output exists.,"['GENRC circuit short to ground', 'GENLI circuit short to ground ', 'Open B+ wire during operation ', 'Low system voltage ', 'Broken generator belt ', 'Damaged generator/regulator assembly ', 'Damaged PCM']", Verify the battery voltage is 14.5 volts.Verify the generator/regulator has the correct part number.
233,P1246 ," Alternator Load Input
","   The powertrain control module (PCM) monitors the generator load from the   generator/regulator in the form of frequency. The frequency range is determined by the   temperature of the voltage regulator, where 97% indicates a full load, and less than 6%   indicates no load.","['GENLI circuit shorted to voltage or ground', 'GENLI circuit open ', 'GENRC circuit shorted to power or ground ', 'GENRC circuit open ', 'ILC circuit shorted to voltage or ground ', 'ILC circuit open ', 'Battery-sense circuit open ', 'Generator drive mechanism ', 'Damaged generator/regulator assembly ', 'Damaged PCM']", Verify the battery voltage is 14.5 volts.Verify the generator/regulator has the correct part number.
234,P1260 ," Theft Detected, Vehicle Immobilized
",   Indicates the passive anti-theft system (PATS) determined a theft condition existed and   the engine is disabled. This DTC is a good indicator to check the PATS for DTCs.,"[' Previous theft condition ', ' Anti-theft system failure']", Theft indicator flashing rapidly or on solid when ignition switch is in the ON position.Check anti-theft system for DTCs.
235,P1270 ," Engine RPM or Vehicle Speed Limiter Reached
"," Indicates the vehicle has been operated in a manner which caused the engine or vehicle to exceed a calibration limit. The engine RPM and vehicle speed are continuously monitored and evaluated by the powertrain control module (PCM). The DTC is set when the RPM or vehicle speed falls out of a calibrated range. For additional information on the engine RPM/vehicle speed limiter, refer to Section 1, Powertrain Control Software .","['Wheel slippage (water, ice, mud, and snow) ', 'Excessive engine RPM in NEUTRAL or operated in the wrong transmission gear', 'Vehicle driven at a high rate of speed']", The DTC indicates the vehicle was operated in a manner which caused the engine RPM orvehicle speed to exceed a calibrated limit.
236,P1285 ," Cylinder Head Over Temperature Condition
", Indicates an engine overheat condition was sensed by the cylinder head temperature (CHT) sensor.,"['Low engine coolant level', 'Base engine concerns ', 'Engine cooling system concerns ', 'CHT sensor concern']"," On some applications when this fault occurs the engine temperature warning indicatorilluminates or forces the temperature gauge to the full H (hot) zone. The warning indicator can be triggered by either grounding the engine temperature warning circuit when wired to the powertrain control module (PCM), or by sending a PCM network message to the instrument cluster."
237,P1288 , Cylinder Head Temperature (CHT) Sensor Out of Self,   Indicates the CHT sensor is out of self-test range. The engine is not at a normal operating   temperature.,"['Cold engine', 'Engine overheating ', 'Damaged harness connector ', 'Low engine coolant level ', 'Damaged CHT sensor']"," Bring the engine to operating temperature. If cold, repeat the self-test. If the engineoverheats, check the cooling system. Refer to the Workshop Manual Section 303-03, Engine Cooling for cooling system diagnosis."
238,P1289 ," Cylinder Head Temperature (CHT) Sensor Circuit High
",   Indicates a CHT sensor circuit open.,"['Open CHT sensor circuit', 'CHT sensor circuit short to voltage ', 'Damaged CHT sensor ', 'Improper harness connection']"," A CHT V PID reading of greater than 4.6 volts with key ON engine OFF, or during anyengine operating mode, indicates a concern is present. Note: DTC P0118 may also be reported when this DTC is set. Either of these DTCs activate the MIL."
239,P128A ," Cylinder Head Temperature (CHT) Sensor Circuit Intermittent/Erratic
",Indicates the CHT circuit became intermittently open or shorted while the engine wasrunning.,"[' Damaged harness or connector', ' Damaged sensor']",Monitor the CHT on a scan tool. Look for sudden changes in the reading when the harness is wiggled or the sensor is tapped.
240,P1290 ," Cylinder Head Temperature (CHT) Sensor Circuit Low
",   Indicates a CHT sensor circuit short to ground.,"[' Grounded circuit in CHT harness', ' Damaged CHT sensor ', ' Improper harness connection']"," A CHT V PID value reading of less than 0.2 volt with key ON engine OFF, or during anyengine operating mode, indicates a concern is present. DTC P0117 may also be reported when this DTC is set. Either of these DTCs activates the malfunction indicator lamp (MIL)."
241,P1299 ," Cylinder Head Over Temperature Protection Active
",   Indicates an engine overheat condition was detected by the cylinder head temperature   (CHT) sensor. A failure mode effects management (FMEM) strategy called fail-safe   cooling was activated to cool the engine.,"[' Engine cooling system concerns', ' Low engine coolant level ', ' Base engine concerns']"," Refer to Section 1, Powertrain Control Software , for more information on the fail-safecooling strategy and cylinder head temperature sensor."
242,P1336 ," Crankshaft/Camshaft Sensor Range/Performance
",The input signal to the powertrain control module (PCM) from the crankshaft position(CKP) sensor or the camshaft position (CMP) sensor is erratic.,"['Damaged CKP sensor', 'Damaged CMP sensor ', 'Base engine concerns ', 'Harness concerns']","Check the harness for routing, alterations, improper shielding, or electrical interference from other improperly functioning systems."
243,P1397 , System Voltage Out Of Self ,   This DTC indicates that the 12-volt system voltage is too high or too low during the key on   engine off (KOEO) or key on engine running (KOER) self-test. It sets if the system voltage   falls below or exceeds the calibrated threshold at any time during the KOEO or KOER self-   test.,['Battery or charging system concern.'], Make sure the battery voltage is between 11 and 18 volts before running a KOEO or KOERself-test.
244,P1405 ," Differential Pressure Feedback Sensor Upstream Hose Off or Plugged
","   While driving, the exhaust gas recirculation (EGR) monitor commands the EGR valve   closed and checks the differential pressure across the EGR orifice. The test fails when the   signal from the differential pressure feedback EGR (DPFE) sensor indicates EGR flow is in   the negative direction.","['The upstream hose is disconnected', 'The upstream hose is plugged (ice) ', 'Plugged or damaged EGR tube']", Look for signs of water or icing in the hose. Verify the hose connection and routing (noexcessive dips). Check the DPFE sensor for correct mounting and function. View the DPFEGR PID while applying and releasing vacuum directly to the sensor with a hand pump.
245,P1406 ," Differential Pressure Feedback Sensor Downstream Hose Off or Plugged
"," While driving, the exhaust gas recirculation (EGR) monitor commands the EGR valve   closed and checks the differential pressure across the EGR orifice. The test fails when the   signal from the differential pressure feedback EGR (DPFE) sensor continues to indicate   EGR flow even after the EGR valve is commanded closed.","['Downstream hose is disconnected', 'Downstream hose is plugged (ice) ', 'Plugged or damaged EGR tube']", Look for signs of water or icing in the hose. Verify the hose connection and routing (noexcessive dips). Check the DPFE sensor for correct mounting and function. View the DPFEGR PID while applying and releasing vacuum directly to the sensor with a hand pump.
246,P1408 , Exhaust Gas Recirculation (EGR) Flow Out of Self,   This test is carried out during the key on engine running (KOER) on-demand self-test   only. The EGR system is commanded on at a fixed engine speed. The test does not   pass and the DTC is set when the measured EGR flow falls above or below the   required calibration.,"[' For electric EGR (EEGR) system, see possible causes for DTC P0400. ', ' For vacuum activated systems, see the possible causes for DTC P0401.']","For EEGR, use the output state control function of the scan tool and monitor the manifold absolute pressure (MAP) PID and the EEGR PID (EGRMDSD) while commanding the EEGR on. If EGR is introduced into the engine at idle, the RPM drops or stalls out. For vacuum systems see diagnostic aids for DTC P0401."
247,P1409 ," Exhaust Gas Recirculation (EGR) Vacuum Regulator Solenoid Circuit
",   This test checks the electrical function of the EGR vacuum regulator solenoid. The   test fails when the EVR circuit voltage is either too high or too low when compared to   the expected voltage range. The EGR system must be enabled for the test to be   completed.,"[' EVR circuit open ', ' EVR circuit short to voltage or ground ', ' VPWR open to EGR vacuum regulator solenoid ', ' Damaged EGR vacuum regulator solenoid']",The EGR vacuum regulator solenoid resistance is between 26 and 40 ohms.
248,P1436 ," A/C Evaporator Air Temperature Circuit Low
", Indicates the A/CET signal input was less than the self-test minimum. The self-test minimum is 0.13 volts.,"['A/CET circuit short to ground or SIG RTN', 'Damaged A/CET sensor']","The powertrain control module (PCM) sources a low current 5 volt reference on the A/CET circuit (this voltage can be measured with the sensor disconnected). As the A/C evaporatorair temperature changes, the A/CET circuit resistance to SIG RTN (ground) changes (whichchanges the voltage the PCM detects). When the A/CET signal is detected below the self-test minimum, check for shorts to SIG RTN or ground which would pull the voltage low."
249,P1437 ," A/C Evaporator Air Temperature Circuit High
", Indicates the A/CET signal input was greater than the self-test minimum. The self-test maximum is 4.5 volts.,"[' A/CET circuit open', ' SIG RTN circuit open to A/CET sensor ', ' A/CET circuit short to voltage (VREF) ', ' Damaged A/CET sensor']"," The powertrain control module (PCM) sources a low current 5 volt reference on the A/CETcircuit (this voltage can be measured with the sensor disconnected). As the A/C evaporator air temperature changes, the A/CET circuit resistance to SIG RTN (ground) changes (which changes the voltage the PCM detects). When the A/CET signal is detected above the self- test maximum, check for open circuits (A/CET or SIG RTN), which would cause the voltage to remain high. Although not as probable, also check for a short to voltage (VREF)."
250,P1443 ," Evaporative Emission System Control Valve (Low/No Flow)
","A fuel tank pressure change greater than minus (-) 7 inches of water in 30 secondsoccurred with a purge, fuel vapor, flow at less than 0.02 lb/min (0.15 gm/s).","[' Blocked fuel vapor hose between the EVAP canister purge valve and the fuel tank pressure (FTP) sensor', ' Blocked fuel vapor hose between the EVAP canister purge valve and the engineintake manifold', ' Blocked vacuum hose between the EVAP canister purge valve solenoid and theengine intake manifold', ' EVAP canister purge valve mechanically stuck closed']","Check for blockages between the fuel tank, the EVAP canister purge valve, and the engine intake manifold. Check for obstructions in the EVAP canister purge valvediaphragm and ports."
251,P1450 ," Unable to Bleed Up Fuel Tank Vacuum
","Monitors the fuel vapor vacuum and pressure in the fuel tank. System failure occurs whenthe evaporative emission (EVAP) running loss monitor detects excessive fuel tank vacuumwith the engine running, but not at idle.","[' Blockages or kinks in the EVAP canister tube or EVAP canister purge outlet tube between the fuel tank, the EVAP canister purge valve and the EVAP canister', ' Fuel filler cap stuck closed, preventing vacuum relief', ' Contaminated fuel vapor elbow on the EVAP canister', ' Restricted EVAP canister', ' CV solenoid stuck partially or fully open', ' Plugged CV solenoid filter', ' EVAP canister purge valve stuck open', ' VREF circuit open in the harness near the fuel tank pressure (FTP) sensor, the FTPsensor or the powertrain control module (PCM)', ' Damaged FTP sensor']","Visually inspect the EVAP canister inlet port, CV solenoid filter, and canister vent hose assembly for contamination or debris.Check EVAP canister purge valve for vacuum leak."
252,P1451 ," Evaporative Emission System Vent Control Circuit
", Monitors the canister vent (CV) solenoid circuit for an electrical failure. The test fails when the signal moves outside the minimum or maximum allowable calibrated parameters for a specified canister vent duty cycle by powertrain control module (PCM) command.,"['VPWR circuit open', 'CV solenoid circuit short to PWR GND or CHASSIS GND ', 'Damaged CV solenoid ', 'CV solenoid circuit open ', 'CV solenoid circuit short to VPWR']"," To verify normal functioning, monitor the evaporative emission (EVAP) CV solenoid signalPID EVAPCV and the signal voltage on the PCM control side. With the valve open, the EVAPCV PID indicates 0% duty cycle and a voltage approximately equal to battery voltage. When the valve is commanded fully closed, the EVAPCV PID indicates 100% duty cycle, and a minimum voltage drop of 4 volts is normal. Output test mode may be used to switch the output on and off to verify function."
253,P1460 ," Wide Open Throttle A/C Cutout Circuit
"," Monitors the A/CCR circuit output from the powertrain control module (PCM). The test fails when the PCM grounds the A/CCR circuit, excessive current draw is detected on the A/CCR circuit; or, with the A/CCR circuit not grounded by the PCM, voltage is not detected on the A/CCR circuit (the PCM expects to detect VPWR voltage coming through the A/CCR relay coil to the A/CCR circuit).","['Open or short A/CCR circuit', 'Damaged A/CCR relay ', 'Open VPWR circuit to the A/CCR relay']"," The A/CCR control circuit can be monitored using the WACF and WAC PID.When the WACF PID reads YES, a concern is present. An open circuit or short to ground can only be detected when the PCM is not grounding the circuit. A short to voltage can only be detected when the PCM is grounding the circuit. During the key ON engine OFF (KOEO) and the key OFF engine running (KOER) self-test, the WAC circuit is cycled on and off. Verify the A/C and the defrost were off during KOEO and KOER self-test (Check the A/CCS PID to verify). If the vehicle is not equipped with A/C, ignore DTC P1460."
254,P1461 ," A/C Pressure Sensor Circuit High
",  The A/CP sensor inputs a voltage to the PCM. If the voltage is above a calibrated level  the DTC sets.,"[' A/CP sensor circuit short to PWR ', ' A/CP circuit open', ' A/CP circuit short to VREF', ' Damaged A/CP sensor']",Verify a VREF voltage between 4 and 6 volts.
255,P1462 ," Air Conditioning Pressure (A/CP) Sensor Low Voltage Detected
",   The A/CP sensor inputs a voltage to the powertrain control module (PCM). If the voltage is   below the calibrated level the DTC sets. The A/CP sensor inputs a voltage to the PCM. If   the voltage is below the calibrated level the DTC sets.,"['A/CP circuit short to GND or SIGRTN', 'VREF circuit open ', 'Open A/CP circuit ', 'Damaged A/CP sensor']", Verify a VREF voltage between 4 and 6 volts.
256,P1463 ," Air Conditioning Pressure Sensor (A/CP) Insufficient Pressure Change
","   Each time the A/C clutch engages, the powertrain control module (PCM) is looking for a   pressure change in the refrigerant. If the change in pressure is outside of the calibration   the DTC sets.","['A/C system mechanical failure', 'Open ACP or VREF circuit ', 'A/C sensor damaged ', 'A/C system electrical failure ', 'A/C clutch always engaged']"," Verify the A/C system function, including refrigerant charge. Refer to the WorkshopManual Section 412-00, Climate Control System."
257,P1464 , A/C Demand Out Of Self,   The diagnostic trouble code (DTC) sets when the powertrain control module (PCM)   receives a request for A/C during the self-test.,"[' A/C or defrost on during self-test', ' A/CCS circuit short to voltage ', ' Damaged A/C demand switch ', ' Damaged WAC relay']"," If the A/C or defrost was on during self-test, turn the A/C or defrost off and repeat the self-test. An A/C request to the PCM may come through the communication link or on a dedicated hardwire circuit from the A/C switch."
258,P1469 ," Rapid A/C Cycling
", Indicates frequent A/C compressor clutch cycling.,"['Mechanical A/C system concern (such as low refrigerant charge, damaged A/C cycling switch)', ' Intermittent open between the cycling pressure switch and the powertrain controlmodule (PCM)', ' Intermittent open in the IGN RUN circuit to cycling pressure switch (if applicable)']","This test is designed to protect the transmission. In some strategies, the PCM unlocks the torque converter during A/C clutch engagement. If a concern is present that results infrequent A/C clutch cycling, damage could occur if the torque converter is cycled at theseintervals. This test detects this condition, sets the DTC and prevents the torque converterfrom excessive cycling."
259,P1474 ," Fan Control Primary Circuit
"," Monitors the LFC primary circuit output from the powertrain control module (PCM). The test fails if the PCM grounds the LFC circuit, excessive current draw is detected on the LFC circuit, or with the LFC circuit not grounded by the PCM, voltage is not detected on the LFC circuit (the PCM expects to detect VPWR voltage coming through the.","['Open or short LFC circuit', 'Open VPWR circuit to the low speed FC relay ', 'Damaged low speed FC relay']"," When the LFCF PID reads YES, a concern is currently present.An open circuit or short to ground can only be detected when the PCM is not grounding the LFC circuit. A short to voltage can only be detected when the PCM is grounding the LFC circuit. During the key on engine off (KOEO) and key on engine running (KOER) self-test, the LFC circuit is cycled on and off."
260,P1477 ," Additional Fan Relay Circuit
"," Monitors the MFC primary circuit output from the powertrain control module (PCM). The test fails if the MFC output commanded on (grounded), excessive current draw is detected on the MFC circuit or, with the MFC circuit commanded off, voltage is not detected on the MFC circuit (the PCM expects to detect IGN START/RUN voltage through the medium speed FC relay coil to the MFC circuit).","['Open or short MFC circuit ', 'Open IGN START/RUN circuit to the medium speed FC relay', 'Damaged medium speed FC relay']"," When the MFCF PID reads YES, a concern is currently present.An open circuit or short to ground can only be detected when the PCM is not grounding the MFC circuit. A short to voltage can only be detected when the PCM is grounding the MFC circuit. During the key on engine off (KOEO) and key on engine running (KOER) self-test, the MFC circuit is cycled on and off. When using output test mode on a scan tool, and commanding the low speed fan on, the PCM also activates the medium speed fan output."
261,P1479 ," High Fan Control Primary Circuit
"," Monitors the HFC primary circuit output from the powertrain control module (PCM). The test fails if the HFC output commanded on (grounded), excessive current draw is detected on the HFC circuit or, with the HFC circuit commanded off, voltage is not detected on the HFC circuit (the PCM expects to detect VPWR voltage through the high speed FC relay coil to the HFC circuit).","['Open or short HFC circuit ', 'Open VPWR circuit to the high speed FC relay', 'Damaged high speed FC relay']"," When the HFCF PID reads YES, a concern is currently present.An open circuit or short to ground can only be detected when the PCM is not grounding the HFC circuit. A short to voltage can only be detected when the PCM is grounding the HFC circuit. During the key on engine off (KOEO) and key on engine running (KOER) self-test, the HFC circuit is cycled on and off."
262,P1489 ," PCV Heater Control Circuit
", This DTC sets when the powertrain control module (PCM) detects a positive crankcase ventilation (PCV) heater circuit failure.,"[' Open or shorted PCV circuit ', ' Damaged PCV heater assembly']", Make sure the PCV valve is correct for the engine application and the PCV heater circuitis properly connected.
263,P1500 ," Vehicle Speed Sensor (VSS)
"," Indicates the VSS input signal was intermittent. This DTC is set when a VSS concern interferes with other on-board diagnostics (OBD) tests, such as the catalyst efficiency monitor, the EVAP monitor or the HO2S monitor.","['Intermittent VSS connections ', 'Intermittent open in the VSS harness circuit(s) ', 'Intermittent short in VSS harness circuit(s) ', 'Damaged VSS']","Check the wiring, connector, and sensor for damage."
264,P1501 , Vehicle Speed Sensor (VSS) Out of Self,"  Indicates the VSS input signal is out of self-test range. If the powertrain  control module (PCM) detects a VSS input signal any time during the self-  test, DTC P1501 is set and the test aborts.","[' Noise on the VSS input signal from the radio frequencyinterference/electro magnetic interference (RFI/EMI)', ' External sources, such as ignition wires, the charging circuit oraftermarket equipment']", Verify the VSS input is 0 km/h (0 mph) when the vehicle transmission is inPARK.
265,P1502 ," Vehicle Speed Sensor (VSS) Intermittent
","   Indicates the powertrain control module (PCM) detected an error in the vehicle   speed information. Vehicle speed data is received from either the VSS, transfer   case speed sensor (TCSS) or anti-lock brake system (ABS) control module. This   DTC is set the same way as P0500. However, it is intended to flash the   transmission control indicator lamp (TCIL) for first time VSS circuit   error/malfunctions.",['See the possible causes for DTC P0500.'],See the diagnostic aids for DTC P0500.
266,P1504 ," Idle Air Control (IAC) Circuit
",This DTC is set when the powertrain control module (PCM) detects an electrical loadfailure on the IAC output circuit.,"[' IAC circuit open ', ' VPWR to IAC solenoid open', ' IAC circuit short to voltage', ' IAC circuit short to GND', ' Damaged IAC valve']",
267,P1506 ," Idle Air Control (IAC) Overspeed Error
",This DTC is set when the powertrain control module (PCM) detects an engine idle speedthat is greater than the desired RPM.,"[' IAC circuit short to GND ', ' Damaged IAC valve', ' IAC valve stuck open', ' Intake air leak after throttle body', ' Vacuum leaks', ' Failed EVAP system']",Disconnect the IAC valve and look for little or no change in engine RPM as an indication of a stuck or damaged valve.
